symbol,instrument_key
Emcure Pharmaceuticals Ltd,NSE_EQ|INE168P01015
Endurance Technologies Ltd,NSE_EQ|INE913H01037
Engineers India Ltd,NSE_EQ|INE510A01028
Eris Lifesciences Ltd,NSE_EQ|INE406M01024
Escorts Kubota Ltd,NSE_EQ|INE042A01014
Eternal Ltd,NSE_EQ|INE758T01015
Exide Industries Ltd,NSE_EQ|INE302A01020
FSN E-Commerce Ventures Ltd,NSE_EQ|INE388Y01029
Federal Bank Ltd,NSE_EQ|INE171A01029
Fertilisers and Chemicals Travancore Ltd,NSE_EQ|INE188A01015
Finolex Cables Ltd,NSE_EQ|INE235A01022
Finolex Industries Ltd,NSE_EQ|INE183A01024
Firstsource Solutions Ltd,NSE_EQ|INE684F01012
Five-Star Business Finance Ltd,NSE_EQ|INE128S01021
Force Motors Ltd,NSE_EQ|INE451A01017
Fortis Healthcare Ltd,NSE_EQ|INE061F01013
GAIL (India) Ltd,NSE_EQ|INE129A01019
GE Vernova T&D India Ltd,NSE_EQ|INE200A01026
GMR Airports Ltd,NSE_EQ|INE776C01039
Garden Reach Shipbuilders & Engineers Ltd,NSE_EQ|INE382Z01011
General Insurance Corporation of India,NSE_EQ|INE481Y01014
Gillette India Ltd,NSE_EQ|INE322A01010
Gland Pharma Ltd,NSE_EQ|INE068V01023
Glaxosmithkline Pharmaceuticals Ltd,NSE_EQ|INE159A01016
Glenmark Pharmaceuticals Ltd,NSE_EQ|INE935A01035
Global Health Ltd,NSE_EQ|INE474Q01031
Go Digit General Insurance Ltd,NSE_EQ|INE03JT01014
Godawari Power & Ispat Ltd,NSE_EQ|INE177H01039
Godfrey Phillips India Ltd,NSE_EQ|INE260B01028
Godrej Agrovet Ltd,NSE_EQ|INE850D01014
Godrej Consumer Products Ltd,NSE_EQ|INE102D01028
Godrej Industries Ltd,NSE_EQ|INE233A01035
Godrej Properties Ltd,NSE_EQ|INE484J01027
Granules India Ltd,NSE_EQ|INE101D01020
Graphite India Ltd,NSE_EQ|INE371A01025
Grasim Industries Ltd,NSE_EQ|INE047A01021
Gravita India Ltd,NSE_EQ|INE024L01027
Great Eastern Shipping Co Ltd,NSE_EQ|INE017A01032
Gujarat Fluorochemicals Ltd,NSE_EQ|INE09N301011
Gujarat Gas Ltd,NSE_EQ|INE844O01030
Gujarat Mineral Development Corporation Ltd,NSE_EQ|INE131A01031
Gujarat State Petronet Ltd,NSE_EQ|INE246F01010
HEG Ltd,NSE_EQ|INE545A01024
HBL Engineering Ltd,NSE_EQ|INE292B01021
HCL Technologies Ltd,NSE_EQ|INE860A01027
HDFC Asset Management Company Ltd,NSE_EQ|INE127D01025
HDFC Bank Ltd,NSE_EQ|INE040A01034
HDFC Life Insurance Company Ltd,NSE_EQ|INE795G01014
HFCL Ltd,NSE_EQ|INE548A01028
Happiest Minds Technologies Ltd,NSE_EQ|INE419U01012
Havells India Ltd,NSE_EQ|INE176B01034
Hero MotoCorp Ltd,NSE_EQ|INE158A01026
Hexaware Technologies Ltd,NSE_EQ|INE093A01041
Himadri Speciality Chemical Ltd,NSE_EQ|INE019C01026
Hindalco Industries Ltd,NSE_EQ|INE038A01020
Hindustan Aeronautics Ltd,NSE_EQ|INE066F01020
Hindustan Copper Ltd,NSE_EQ|INE531E01026
Hindustan Petroleum Corporation Ltd,NSE_EQ|INE094A01015
Hindustan Unilever Ltd,NSE_EQ|INE030A01027
Hindustan Zinc Ltd,NSE_EQ|INE267A01025
Hitachi Energy India Ltd,NSE_EQ|INE07Y701011
Home First Finance Company India Ltd,NSE_EQ|INE481N01025
Honasa Consumer Ltd,NSE_EQ|INE0J5401028
Honeywell Automation India Ltd,NSE_EQ|INE671A01010
Housing & Urban Development Corporation Ltd,NSE_EQ|INE031A01017
Hyundai Motor India Ltd,NSE_EQ|INE0V6F01027
ICICI Bank Ltd,NSE_EQ|INE090A01021
ICICI Lombard General Insurance Company Ltd,NSE_EQ|INE765G01017
ICICI Prudential Life Insurance Company Ltd,NSE_EQ|INE726G01019
IDBI Bank Ltd,NSE_EQ|INE008A01015
IDFC First Bank Ltd,NSE_EQ|INE092T01019
IFCI Ltd,NSE_EQ|INE039A01010
IIFL Finance Ltd,NSE_EQ|INE530B01024
INOX India Ltd,NSE_EQ|INE616N01034
IRB Infrastructure Developers Ltd,NSE_EQ|INE821I01022
IRCON International Ltd,NSE_EQ|INE962Y01021
ITC Hotels Ltd,NSE_EQ|INE379A01028
ITC Ltd,NSE_EQ|INE154A01025
ITI Ltd,NSE_EQ|INE248A01017
Indegene Ltd,NSE_EQ|INE065X01017
India Cements Ltd,NSE_EQ|INE383A01012
Indiamart Intermesh Ltd,NSE_EQ|INE933S01016
Indian Bank,NSE_EQ|INE562A01011
Indian Energy Exchange Ltd,NSE_EQ|INE022Q01020
Indian Hotels Co Ltd,NSE_EQ|INE053A01029
Indian Oil Corporation Ltd,NSE_EQ|INE242A01010
Indian Overseas Bank,NSE_EQ|INE565A01014
Indian Railway Catering And Tourism Corporation Ltd,NSE_EQ|INE335Y01020
Indian Railway Finance Corporation Ltd,NSE_EQ|INE053F01010
Indian Renewable Energy Development Agency Ltd,NSE_EQ|INE202E01016
Indraprastha Gas Ltd,NSE_EQ|INE203G01027
Indus Towers Ltd,NSE_EQ|INE121J01017
IndusInd Bank Ltd,NSE_EQ|INE095A01012
Info Edge (India) Ltd,NSE_EQ|INE663F01032
Infosys Ltd,NSE_EQ|INE009A01021
Inox Wind Ltd,NSE_EQ|INE066P01011
Intellect Design Arena Ltd,NSE_EQ|INE306R01017
InterGlobe Aviation Ltd,NSE_EQ|INE646L01027
International Gemmological Institute (India) Ltd,NSE_EQ|INE0Q9301021
Inventurus Knowledge Solutions Ltd,NSE_EQ|INE115Q01022
Ipca Laboratories Ltd,NSE_EQ|INE571A01038
JB Chemicals & Pharmaceuticals Ltd,NSE_EQ|INE572A01036
JK Cement Ltd,NSE_EQ|INE823G01014
JBM Auto Ltd,NSE_EQ|INE927D01051
JK Tyre & Industries Ltd,NSE_EQ|INE573A01042
JM Financial Ltd,NSE_EQ|INE780C01023
JSW Energy Ltd,NSE_EQ|INE121E01018
JSW Infrastructure Ltd,NSE_EQ|INE880J01026
JSW Steel Ltd,NSE_EQ|INE019A01038
Jaiprakash Power Ventures Ltd,NSE_EQ|INE351F01018
Jammu & Kashmir Bank Ltd,NSE_EQ|INE168A01041
Jindal Saw Ltd,NSE_EQ|INE324A01032
Jindal Stainless Ltd,NSE_EQ|INE220G01021
Jindal Steel Ltd,NSE_EQ|INE749A01030
Jio Financial Services Ltd,NSE_EQ|INE758E01017
Jubilant Foodworks Ltd,NSE_EQ|INE797F01020
Jubilant Ingrevia Ltd,NSE_EQ|INE0BY001018
Jubilant Pharmova Ltd,NSE_EQ|INE700A01033
Jupiter Wagons Ltd,NSE_EQ|INE209L01016
Jyothy Labs Ltd,NSE_EQ|INE668F01031
Jyoti CNC Automation Ltd,NSE_EQ|INE980O01024
KPR Mill Ltd,NSE_EQ|INE930H01031
KEI Industries Ltd,NSE_EQ|INE878B01027
KPIT Technologies Ltd,NSE_EQ|INE04I401011
KSB Ltd,NSE_EQ|INE999A01023
Kajaria Ceramics Ltd,NSE_EQ|INE217B01036
Kalpataru Projects International Ltd,NSE_EQ|INE220B01022
Kalyan Jewellers India Ltd,NSE_EQ|INE303R01014
Karur Vysya Bank Ltd,NSE_EQ|INE036D01028
Kaynes Technology India Ltd,NSE_EQ|INE918Z01012
Kec International Ltd,NSE_EQ|INE389H01022
Kfin Technologies Ltd,NSE_EQ|INE138Y01010
Kirloskar Brothers Ltd,NSE_EQ|INE732A01036
Kirloskar Oil Eng Ltd,NSE_EQ|INE146L01010
Kotak Mahindra Bank Ltd,NSE_EQ|INE237A01028
Krishna Institute of Medical Sciences Ltd,NSE_EQ|INE967H01025
L&T Finance Ltd,NSE_EQ|INE498L01015
L&T Technology Services Ltd,NSE_EQ|INE010V01017
LIC Housing Finance Ltd,NSE_EQ|INE115A01026
LT Foods Ltd,NSE_EQ|INE818H01020
LTIMindtree Ltd,NSE_EQ|INE214T01019
Larsen & Toubro Ltd,NSE_EQ|INE018A01030
Latent View Analytics Ltd,NSE_EQ|INE0I7C01011
Laurus Labs Ltd,NSE_EQ|INE947Q01028
Leela Palaces Hotels & Resorts Ltd,NSE_EQ|INE0AQ201015
Lemon Tree Hotels Ltd,NSE_EQ|INE970X01018
Life Insurance Corporation of India,NSE_EQ|INE0J1Y01017
Linde India Ltd,NSE_EQ|INE473A01011
Lloyds Metals And Energy Ltd,NSE_EQ|INE281B01032
Lodha Developers Ltd,NSE_EQ|INE670K01029
Lupin Ltd,NSE_EQ|INE326A01037
MMTC Ltd,NSE_EQ|INE123F01029
MRF Ltd,NSE_EQ|INE883A01011
Mahanagar Gas Ltd,NSE_EQ|INE002S01010
Maharashtra Scooters Ltd,NSE_EQ|INE288A01013
Maharashtra Seamless Ltd,NSE_EQ|INE271B01025
Mahindra & Mahindra Financial Services Ltd,NSE_EQ|INE774D01024
Mahindra & Mahindra Ltd,NSE_EQ|INE101A01026
Manappuram Finance Ltd,NSE_EQ|INE522D01027
Mangalore Refinery & Petrochemicals Ltd,NSE_EQ|INE103A01014
Mankind Pharma Ltd,NSE_EQ|INE634S01028
Marico Ltd,NSE_EQ|INE196A01026
Maruti Suzuki India Ltd,NSE_EQ|INE585B01010
Max Financial Services Ltd,NSE_EQ|INE180A01020
Max Healthcare Institute Ltd,NSE_EQ|INE027H01010
Mazagoan Dock Shipbuilders Ltd,NSE_EQ|INE249Z01020
Metropolis Healthcare Ltd,NSE_EQ|INE112L01020
Minda Corporation Ltd,NSE_EQ|INE842C01021
Motherson Sumi Wiring India Ltd,NSE_EQ|INE0FS801015
Motilal Oswal Financial Services Ltd,NSE_EQ|INE338I01027
MphasiS Ltd,NSE_EQ|INE356A01018
Multi Commodity Exchange of India Ltd,NSE_EQ|INE745G01035
Muthoot Finance Ltd,NSE_EQ|INE414G01012
NATCO Pharma Ltd,NSE_EQ|INE987B01026
NBCC (India) Ltd,NSE_EQ|INE095N01031
NCC Ltd,NSE_EQ|INE868B01028
NHPC Ltd,NSE_EQ|INE848E01016
NLC India Ltd,NSE_EQ|INE589A01014
NMDC Ltd,NSE_EQ|INE584A01023
NMDC Steel Ltd,NSE_EQ|INE0NNS01018
NTPC Green Energy Ltd,NSE_EQ|INE0ONG01011
NTPC Ltd,NSE_EQ|INE733E01010
Narayana Hrudayalaya Ltd,NSE_EQ|INE410P01011
National Aluminium Co Ltd,NSE_EQ|INE139A01034
Nava Ltd,NSE_EQ|INE725A01030
Navin Fluorine International Ltd,NSE_EQ|INE048G01026
Nestle India Ltd,NSE_EQ|INE239A01024
Netweb Technologies India Ltd,NSE_EQ|INE0NT901020
Neuland Laboratories Ltd,NSE_EQ|INE794A01010
