instrument_id,instrument_key,symbol,series,exchange,company_name,sector,isin_code,is_active
2411,NSE_EQ|INF200KA1S22,SBIETFPB,EQ,NSE,SBIAMC - SBIETFPB,Others,INF200KA1S22,True
2469,NSE_EQ|INF200KA1WX6,SBIETFQLTY,EQ,NSE,SBIAMC - SBIETFQLTY,Others,INF200KA1WX6,True
400,NSE_EQ|INE123W01016,SBILIFE,EQ,NSE,SBI LIFE INSURANCE CO LTD,Insurance,INE123W01016,True
1072,NSE_EQ|INF200KB1969,SBILIQETF,EQ,NSE,SBIAMC - SBILIQETF,Others,INF200KB1969,True
1145,NSE_EQ|INF200KB1AJ0,SBIMIDMOM,EQ,NSE,SBIAMC - SBIMIDMOM,Others,INF200KB1AJ0,True
425,NSE_EQ|INE062A01020,SBIN,EQ,NSE,STATE BANK OF INDIA,Bank,INE062A01020,True
1272,NSE_EQ|INF200KB1282,SBINEQWETF,EQ,NSE,SBIAMC - SBINEQWETF,Others,INF200KB1282,True
1270,NSE_EQ|INF200KB1217,SBISILVER,EQ,NSE,SBIAMC - SBISILVER,Others,INF200KB1217,True
1153,NSE_EQ|INF200KB1AY9,SBISMLETF,EQ,NSE,SBIAMC - SBISMLETF,Others,INF200KB1AY9,True
1155,NSE_EQ|INF200KB1AX1,SBIVALETF,EQ,NSE,SBIAMC - SBIVALETF,Others,INF200KB1AX1,True
974,NSE_EQ|INE099G01011,SCANSTL,EQ,NSE,SCAN STEELS LTD.,Others,INE099G01011,True
411,NSE_EQ|INE513A01022,SCHAEFFLER,EQ,NSE,SCHAEFFLER INDIA LIMITED,Bearings,INE513A01022,True
765,NSE_EQ|INE807K01035,SCHAND,EQ,NSE,S CHAND AND COMPANY LTD,Others,INE807K01035,True
412,NSE_EQ|INE839M01018,SCHNEIDER,EQ,NSE,SCHNEIDER ELECTRIC INFRA,Electric Equipment,INE839M01018,True
1432,NSE_EQ|INE109A01011,SCI,EQ,NSE,SHIPPING CORP OF INDIA LT,Others,INE109A01011,True
1587,NSE_EQ|INE0PB301013,SCILAL,EQ,NSE,SHIPPING CORP OF ILA LTD,Others,INE0PB301013,True
9438,NSE_EQ|INE460Q01014,SCML,SM,NSE,SHARP CHUCKS N MACHINES L,Others,INE460Q01014,True
1373,NSE_EQ|INE090501011,SCODATUBES,EQ,NSE,SCODA TUBES LIMITED,Others,INE090501011,True
1174,NSE_EQ|INE501Y01019,SCPL,EQ,NSE,SHEETAL COOL PRODUCTS LTD,Others,INE501Y01019,True
1129,NSE_EQ|INE480C01038,SDBL,EQ,NSE,SOM DIST & BREW LTD,Others,INE480C01038,True
5766,NSE_EQ|INE0X6F01017,SDREAMS,SM,NSE,S D RETAIL LIMITED,Others,INE0X6F01017,True
1541,NSE_EQ|INE497B01018,SEAMECLTD,EQ,NSE,SEAMEC LIMITED,Others,INE497B01018,True
8200,NSE_EQ|INE00Y701026,SECL,ST,NSE,SALASAR EXTERIOR CONT LTD,Others,INE00Y701026,True
892,NSE_EQ|INE0BTM01013,SECMARK,EQ,NSE,SECMARK CONSULTANCY LTD,Others,INE0BTM01013,True
1075,NSE_EQ|INE650K01021,SECURKLOUD,EQ,NSE,SECUREKLOUD TECH LIMITED,Others,INE650K01021,True
1809,NSE_EQ|INE00XB01019,SEDEMAC,EQ,NSE,SEDEMAC MECHATRONICS LTD,Others,INE00XB01019,True
2041,NSE_EQ|INE440T01028,SEIL,EQ,NSE,SHANTI EDU INITIATIVES L,Others,INE440T01028,True
9093,NSE_EQ|INE0R8O23017,SEITINVIT,IV,NSE,SUSTAINABLE ENERGY INFRA,Others,INE0R8O23017,True
2556,NSE_EQ|INE955I01044,SEJALLTD,BE,NSE,SEJAL GLASS LIMITED,Others,INE955I01044,True
9056,NSE_EQ|INE0O3O01017,SEL,ST,NSE,SUNGARNER ENERGIES LTD,Others,INE0O3O01017,True
1180,NSE_EQ|INF769K01ON4,SELECTIPO,EQ,NSE,MIRAEAMC - SELECTIPO,Others,INF769K01ON4,True
4164,NSE_EQ|INE0IJF01013,SELLOWRAP,SM,NSE,SELLOWRAP INDUSTRIES LTD,Others,INE0IJF01013,True
2438,NSE_EQ|INE105I01020,SELMC,EQ,NSE,SEL MANUFACTURING CO LTD,Others,INE105I01020,True
3329,NSE_EQ|INE617A01013,SEMAC,BE,NSE,SEMAC CONSTRUCTION LTD,Others,INE617A01013,True
1672,NSE_EQ|INE602W01027,SENCO,EQ,NSE,SENCO GOLD LIMITED,Others,INE602W01027,True
1438,NSE_EQ|INE0RB801010,SENORES,EQ,NSE,SENORES PHARMACEUTICALS L,Others,INE0RB801010,True
1886,NSE_EQ|INF740KA1SZ6,SENSEXADD,EQ,NSE,DSPAMC - DSPSENXETF,Others,INF740KA1SZ6,True
1277,NSE_EQ|INF789FB1X58,SENSEXBETA,EQ,NSE,UTIAMC-SENSEXBETA,Others,INF789FB1X58,True
1221,NSE_EQ|INF769K01KT9,SENSEXETF,EQ,NSE,MIRAEAMC - SENSEXETF,Others,INF769K01KT9,True
1148,NSE_EQ|INF346A01034,SENSEXIETF,EQ,NSE,ICICI PRUD SENSEX ETF,Others,INF346A01034,True
1600,NSE_EQ|INE964H01014,SEPC,EQ,NSE,SEPC LIMITED,Others,INE964H01014,True
6847,NSE_EQ|INE0P1Q01015,SERVICE,SM,NSE,SERVICE CARE LIMITED,Others,INE0P1Q01015,True
1511,NSE_EQ|INE782X01033,SERVOTECH,EQ,NSE,SERVOTECH REN POW SYS LTD,Others,INE782X01033,True
1601,NSE_EQ|INE630A01024,SESHAPAPER,EQ,NSE,SESHASAYEE PAPER & BOARDS,Others,INE630A01024,True
5919,NSE_EQ|INE878E01021,SETCO,BE,NSE,SETCO AUTOMOTIVE LTD,Others,INE878E01021,True
2204,NSE_EQ|INF200KA16D8,SETFGOLD,EQ,NSE,SBI-ETF GOLD,Others,INF200KA16D8,True
2166,NSE_EQ|INF200KA1580,SETFNIFBK,EQ,NSE,SBI-ETF NIFTY BANK,Others,INF200KA1580,True
1987,NSE_EQ|INE0M4D01010,SETL,EQ,NSE,STANDARD ENGNG TCNLGY LTD,Others,INE0M4D01010,True
8462,NSE_EQ|INE023M01027,SETUINFRA,BZ,NSE,SETUBANDHAN INFRA LTD,Others,INE023M01027,True
3720,NSE_EQ|INE573R01012,SEYAIND,BE,NSE,SEYA INDUSTRIES LIMITED,Others,INE573R01012,True
553,NSE_EQ|INE916U01025,SFL,EQ,NSE,SHEELA FOAM LIMITED,Others,INE916U01025,True
4047,NSE_EQ|INE0U6N01014,SFML,SM,NSE,SUPREME FACILITY MGMT LTD,Others,INE0U6N01014,True
532,NSE_EQ|INE618R01015,SGFIN,EQ,NSE,SG FINSERVE LIMITED,Others,INE618R01015,True
1725,NSE_EQ|INE00QT01015,SGIL,EQ,NSE,SYNERGY GREEN IND. LTD,Others,INE00QT01015,True
541,NSE_EQ|INE353H01010,SGL,EQ,NSE,STL GLOBAL LIMITED,Others,INE353H01010,True
1963,NSE_EQ|INE385F01024,SGMART,EQ,NSE,SG MART LIMITED,Others,INE385F01024,True
1171,NSE_EQ|INE12UN01015,SHADOWFAX,EQ,NSE,SHADOWFAX TECHNOLOGIES L,Others,INE12UN01015,True
2428,NSE_EQ|INE482J01021,SHAH,EQ,NSE,SHAH METACORP LIMITED,Others,INE482J01021,True
1349,NSE_EQ|INE640C01011,SHAHALLOYS,EQ,NSE,SHAH ALLOYS LIMITED,Others,INE640C01011,True
1834,NSE_EQ|INE151G01028,SHAILY,EQ,NSE,SHAILY ENG PLASTICS LTD,Others,INE151G01028,True
3229,NSE_EQ|INE262S01010,SHAIVAL,ST,NSE,SHAIVAL REALITY LIMITED,Others,INE262S01010,True
1544,NSE_EQ|INE908D01010,SHAKTIPUMP,EQ,NSE,SHAKTI PUMPS (I) LTD,Others,INE908D01010,True
803,NSE_EQ|INE597J01018,SHALBY,EQ,NSE,SHALBY LIMITED,Others,INE597J01018,True
1827,NSE_EQ|INE849C01026,SHALPAINTS,EQ,NSE,SHALIM PAINTS LTD,Others,INE849C01026,True
3262,NSE_EQ|INE274V01019,SHANKARA,BE,NSE,SHANKARA BLDG PRODUCT LTD,Others,INE274V01019,True
4927,NSE_EQ|INE0Q9Q01017,SHANTHALA,SM,NSE,SHANTHALA FMCG PRODUCTS L,Others,INE0Q9Q01017,True
1560,NSE_EQ|INE933X01016,SHANTI,EQ,NSE,SHANTI OVERSEAS INDIA LTD,Others,INE933X01016,True
