symbol,short_name,5m_rows,5m_start,5m_end,15m_rows,15m_start,15m_end,30m_rows,30m_start,30m_end,1h_rows,1h_start,1h_end,1d_rows,1d_start,1d_end
NSE_EQ|INE01EA01019,INE01EA01019,19058,2024-12-18T09:35:00+05:30,2025-12-26T15:25:00+05:30,6353,2024-12-18T09:30:00+05:30,2025-12-26T15:15:00+05:30,3304,2024-12-18T09:15:00+05:30,2025-12-26T15:15:00+05:30,1779,2024-12-18T09:15:00+05:30,2025-12-26T15:15:00+05:30,255,2024-12-18T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE020B01018,INE020B01018,73814,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE021A01026,INE021A01026,73814,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE022Q01020,INE022Q01020,73814,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE024L01027,INE024L01027,73800,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE027A01015,INE027A01015,73812,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE027H01010,INE027H01010,73813,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE028A01039,INE028A01039,73814,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE029A01011,INE029A01011,73814,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE02RE01045,INE02RE01045,25515,2024-08-13T10:00:00+05:30,2025-12-26T15:25:00+05:30,8505,2024-08-13T10:00:00+05:30,2025-12-26T15:15:00+05:30,4423,2024-08-13T09:45:00+05:30,2025-12-26T15:15:00+05:30,2382,2024-08-13T09:15:00+05:30,2025-12-26T15:15:00+05:30,342,2024-08-13T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE030A01027,INE030A01027,73805,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24602,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12796,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE031A01017,INE031A01017,73811,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE031B01049,INE031B01049,73813,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE036A01016,INE036A01016,73512,2022-01-03T09:15:00+05:30,2025-12-19T15:25:00+05:30,24505,2022-01-03T09:15:00+05:30,2025-12-19T15:15:00+05:30,12745,2022-01-03T09:15:00+05:30,2025-12-19T15:15:00+05:30,6863,2022-01-03T09:15:00+05:30,2025-12-19T15:15:00+05:30,985,2022-01-03T00:00:00+05:30,2025-12-19T00:00:00+05:30
NSE_EQ|INE036D01028,INE036D01028,73813,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE038A01020,INE038A01020,73814,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE039A01010,INE039A01010,73811,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE03JT01014,INE03JT01014,29720,2024-05-23T09:15:00+05:30,2025-12-26T15:25:00+05:30,9908,2024-05-23T09:15:00+05:30,2025-12-26T15:15:00+05:30,5152,2024-05-23T09:15:00+05:30,2025-12-26T15:15:00+05:30,2774,2024-05-23T09:15:00+05:30,2025-12-26T15:15:00+05:30,398,2024-05-23T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE03QK01018,INE03QK01018,73812,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE040A01034,INE040A01034,73814,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE040H01021,INE040H01021,73812,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE042A01014,INE042A01014,73814,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE043W01024,INE043W01024,73811,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE044A01036,INE044A01036,73814,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE047A01021,INE047A01021,73814,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE048G01026,INE048G01026,73814,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE049B01025,INE049B01025,73812,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE04I401011,INE04I401011,73813,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE050A01025,INE050A01025,73811,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE053A01029,INE053A01029,73814,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
NSE_EQ|INE053F01010,INE053F01010,73811,2022-01-03T09:15:00+05:30,2025-12-26T15:25:00+05:30,24605,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,12797,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,6891,2022-01-03T09:15:00+05:30,2025-12-26T15:15:00+05:30,989,2022-01-03T00:00:00+05:30,2025-12-26T00:00:00+05:30
